Commodity_Code,Commodity_Description,Country_Code,Country_Name,Market_Year,Calendar_Year,Month,Attribute_ID,Attribute_Description,Unit_ID,Unit_Description,Value
0711100,"Coffee, Green",BR,Brazil,1967,1967,0,75,Roast & Ground Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1967,1967,0,53,Robusta Production,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1967,1967,0,141,"Rst,Ground Dom. Consum",2,(1000 60 KG BAGS),8690.0
0711100,"Coffee, Green",BR,Brazil,1967,1967,0,154,Soluble Dom. Cons.,2,(1000 60 KG BAGS),60.0
0711100,"Coffee, Green",BR,Brazil,1967,1967,0,114,Soluble Exports,2,(1000 60 KG BAGS),584.0
0711100,"Coffee, Green",BR,Brazil,1967,1967,0,82,Soluble Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1967,1967,0,178,Total Distribution,2,(1000 60 KG BAGS),91261.0
0711100,"Coffee, Green",BR,Brazil,1967,1967,0,86,Total Supply,2,(1000 60 KG BAGS),91261.0
0711100,"Coffee, Green",BR,Brazil,1968,1968,0,29,Arabica Production,2,(1000 60 KG BAGS),17000.0
0711100,"Coffee, Green",BR,Brazil,1968,1968,0,90,Bean Exports,2,(1000 60 KG BAGS),18300.0
0711100,"Coffee, Green",BR,Brazil,1968,1968,0,58,Bean Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1968,1968,0,20,Beginning Stocks,2,(1000 60 KG BAGS),63547.0
0711100,"Coffee, Green",BR,Brazil,1968,1968,0,125,Domestic Consumption,2,(1000 60 KG BAGS),8750.0
0711100,"Coffee, Green",BR,Brazil,1968,1968,0,176,Ending Stocks,2,(1000 60 KG BAGS),52706.0
0711100,"Coffee, Green",BR,Brazil,1968,1968,0,88,Exports,2,(1000 60 KG BAGS),19091.0
0711100,"Coffee, Green",BR,Brazil,1968,1968,0,57,Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1968,1968,0,56,Other Production,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1968,1968,0,28,Production,2,(1000 60 KG BAGS),17000.0
0711100,"Coffee, Green",BR,Brazil,1968,1968,0,107,Roast & Ground Exports,2,(1000 60 KG BAGS),41.0
0711100,"Coffee, Green",BR,Brazil,1968,1968,0,75,Roast & Ground Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1968,1968,0,53,Robusta Production,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1968,1968,0,141,"Rst,Ground Dom. Consum",2,(1000 60 KG BAGS),8685.0
0711100,"Coffee, Green",BR,Brazil,1968,1968,0,154,Soluble Dom. Cons.,2,(1000 60 KG BAGS),65.0
0711100,"Coffee, Green",BR,Brazil,1968,1968,0,114,Soluble Exports,2,(1000 60 KG BAGS),750.0
0711100,"Coffee, Green",BR,Brazil,1968,1968,0,82,Soluble Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1968,1968,0,178,Total Distribution,2,(1000 60 KG BAGS),80547.0
0711100,"Coffee, Green",BR,Brazil,1968,1968,0,86,Total Supply,2,(1000 60 KG BAGS),80547.0
0711100,"Coffee, Green",BR,Brazil,1969,1969,0,29,Arabica Production,2,(1000 60 KG BAGS),21000.0
0711100,"Coffee, Green",BR,Brazil,1969,1969,0,90,Bean Exports,2,(1000 60 KG BAGS),18142.0
0711100,"Coffee, Green",BR,Brazil,1969,1969,0,58,Bean Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1969,1969,0,20,Beginning Stocks,2,(1000 60 KG BAGS),52706.0
0711100,"Coffee, Green",BR,Brazil,1969,1969,0,125,Domestic Consumption,2,(1000 60 KG BAGS),8740.0
0711100,"Coffee, Green",BR,Brazil,1969,1969,0,176,Ending Stocks,2,(1000 60 KG BAGS),45831.0
0711100,"Coffee, Green",BR,Brazil,1969,1969,0,88,Exports,2,(1000 60 KG BAGS),19135.0
0711100,"Coffee, Green",BR,Brazil,1969,1969,0,57,Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1969,1969,0,56,Other Production,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1969,1969,0,28,Production,2,(1000 60 KG BAGS),21000.0
0711100,"Coffee, Green",BR,Brazil,1969,1969,0,107,Roast & Ground Exports,2,(1000 60 KG BAGS),11.0
0711100,"Coffee, Green",BR,Brazil,1969,1969,0,75,Roast & Ground Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1969,1969,0,53,Robusta Production,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1969,1969,0,141,"Rst,Ground Dom. Consum",2,(1000 60 KG BAGS),8670.0
0711100,"Coffee, Green",BR,Brazil,1969,1969,0,154,Soluble Dom. Cons.,2,(1000 60 KG BAGS),70.0
0711100,"Coffee, Green",BR,Brazil,1969,1969,0,114,Soluble Exports,2,(1000 60 KG BAGS),982.0
0711100,"Coffee, Green",BR,Brazil,1969,1969,0,82,Soluble Imports,2,(1000 60 KG BAGS),0.0
0711100,"Coffee, Green",BR,Brazil,1969,1969,0,178,Total Distribution,2,(1000 60 KG BAGS),73706.0
0711100,"Coffee, Green",BR,Brazil,1969,1969,0,86,Total Supply,2,(1000 60 KG BAGS),73706.0
0711100,"Coffee, Green",BR,Brazil,1970,1970,0,29,Arabica Production,2,(1000 60 KG BAGS),11000.0
0711100,"Coffee, Green",BR,Brazil,1970,1970,0,90,Bean Exports,2,(1000 60 KG BAGS),14912.0
